"","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"190","Bonn",73.61,29.24,52.21,55,70.68,118.12
"191","Jacksonville",73.58,32.27,53.66,77.14,73.25,117.13
"192","FortCollins",73.57,42.07,58.38,81.45,61.31,73.23
"193","Cleveland",73.47,28.35,51.71,67.52,74.7,146.27
"194","Bremen",73.41,22.22,48.72,59.15,70.25,131.14
"195","Milwaukee",73.37,35.5,55.11,71.9,71.59,139.23
"196","Bilbao",73.3,30.28,52.55,65.27,75.33,92.96
"197","SaintPetersburg",73.29,41.01,57.72,72.82,75.33,145.31
"198","Exeter",73.17,31.86,53.24,58.28,82.78,86.66
"199","Memphis",72.95,27.52,51.04,73.96,70.71,154.91
"200","Guelph",72.93,28.86,51.68,68.86,80.08,114.41
"201","Syracuse",72.88,30.77,52.57,72.26,67.76,103.63
"202","Waterloo",72.86,29.64,52.01,70.36,70.2,120.38
"203","Regina",72.85,28.93,51.67,73.25,66.3,109.12
"204","Newark",72.68,40.31,57.07,66.47,77.87,94.1
"205","Akron",72.65,21.57,48.02,77.33,63.79,99.21
"206","Dubai",72.58,66.88,69.83,61.71,67.23,123.71
"207","Nuremberg",72.57,25.08,49.67,55.83,71.58,127.52
"208","Mississauga",72.54,36.65,55.23,68.46,67.15,106.67
"209","Austin",72.46,49.8,61.53,73.02,75.56,140.39
"210","Leipzig",72.4,20.19,47.22,54.51,64.82,91.69
"211","Taipei",72.39,21.61,47.9,87.57,34.77,104.9
"212","Fresno",72.36,30.94,52.38,72.51,75.89,110.71
"213","Buffalo",72.15,28.94,51.31,69.14,72.72,120.23
"214","Shreveport",72.07,25.24,49.48,78.42,64.04,76.03
"215","Windsor",72,21.38,47.59,63.4,67.16,118.85
"216","Nanaimo",71.9,25.11,49.33,78.03,63.87,99.07
"217","Nashville",71.88,47.73,60.23,74.28,69.38,125.4
"218","Aachen",71.81,24.48,48.99,57.78,64.67,128.79
"219","Moncton",71.79,18.63,46.15,70.92,66.98,88.06
"220","Cardiff",71.52,28.32,50.69,65.68,72.66,109.78
"221","Southampton",71.48,33.09,52.97,58.97,76,116.26
"222","Raleigh",71.4,37.42,55.02,78.32,70.58,131.99
"223","LittleRock",71.29,24.83,48.89,77.24,64.98,132.31
"224","Dresden",71.22,22.95,47.94,56.07,59.77,105.93
"225","Winnipeg",71.22,24.91,48.89,69.49,67.33,114.61
"226","QuebecCity",71.21,17.97,45.53,71.69,65.29,118.31
"227","Naples",71.14,19.85,46.41,66.45,63.1,59.99
"228","Richmond",70.98,36.18,54.2,77.66,65.74,133.08
"229","LasVegas",70.97,29.98,51.2,66.54,74.53,148.81
"230","SaintLouis",70.76,30.11,51.15,71.33,68.14,144.7
"231","GrandRapids",70.58,32.95,52.43,69.69,70.77,143.87
"232","Rochester",70.52,30.31,51.13,72.96,74.66,158.71
"233","Houston",70.37,44.1,57.7,71.01,71.15,145.38
