"","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"418","Yekaterinburg",42.05,12.4,27.75,37.86,36.08,52.61
"419","Cebu",41.81,11.84,27.36,43.31,24.71,26.16
"420","Timisoara",41.62,10.78,26.75,34.26,36.97,59.09
"421","Rabat",41.62,13.47,28.04,37.31,27.57,45.29
"422","HoChiMinhCity",41.28,18.81,30.45,42.17,21.09,36.92
"423","Ankara",41.21,7.95,25.17,36.71,31.39,56.89
"424","Izmir",40.97,8.86,25.48,37.48,29.22,54.57
"425","Burgas",40.81,7.29,24.65,35.83,33.58,50.53
"426","ClujNapoca",40.51,13.6,27.54,34.7,33.06,59.81
"427","Plovdiv",40.29,7.65,24.55,35.49,33.1,54.98
"428","Bursa",40.26,6.73,24.09,34.46,27.63,55.63
"429","Yogyakarta",40.01,6.09,23.65,45.78,14.56,30.25
"430","Hanoi",39.89,14.56,27.67,40.28,22.71,27.09
"431","Novosibirsk",39.86,12.16,26.5,35.77,34.9,47.89
"432","BanjaLuka",39.85,7.77,24.38,32.73,28.97,51.24
"433","NizhnyNovgorod",39.83,11.38,26.11,35.11,37.77,40.34
"434","Iasi",39.81,10.55,25.7,33.52,34.64,51.29
"435","Suzhou",39.57,17.11,28.74,39.63,31.65,91.87
"436","Kazan",39.53,12.81,26.64,33.82,43.81,51.14
"437","Sibiu",39.5,8.46,24.53,32.76,33.38,54.27
"438","Tirana",39.33,9.96,25.17,31.79,32.05,38.05
"439","Chengdu",39.26,12.73,26.47,38.41,28.42,77.03
"440","Surabaya",39.24,8.6,24.46,43.32,18.67,37.58
"441","Rostovnadonu",39.1,12.21,26.13,31.64,41.73,35.31
"442","Bogota",38.99,13.86,26.87,31.74,29.55,42.03
"443","Oradea",38.94,7.42,23.74,32.85,25.94,46.65
"444","NoviSad",38.9,7.47,23.74,31.2,28.89,48.41
"445","Casablanca",38.81,16.45,28.02,33.78,28.81,47.32
"446","Antalya",38.77,7.18,23.53,33.47,29.4,54.45
"447","Skopje",38.51,9.26,24.4,30.7,29.14,41.99
"448","Monterrey",38.45,11.52,25.46,35.16,38.06,84.22
"449","Cuenca",38.41,10.38,24.89,37.19,26.71,43.44
"450","Brasov",38.37,9.96,24.67,31.4,33.82,67.91
"451","Ulaanbaatar",38.13,11.34,25.21,37.23,25.59,33.71
"452","Medan",37.99,4.71,21.94,41.6,18.35,44.28
"453","Tehran",37.8,19.93,29.18,34.45,30.9,43.28
"454","Colombo",37.72,9.88,24.29,41.98,22.74,27.62
"455","Bandung",37.68,6.05,22.42,43.19,17.12,33.9
"456","MexicoCity",37.54,17.84,28.04,34.66,32.65,64.03
"457","Astana",37.51,14.88,26.6,32.67,38.79,40.49
"458","Nis",37.32,5.73,22.09,29.67,30.85,38.68
"459","Kigali",37.18,11.85,24.96,31.27,27.33,28.22
"460","Algiers",37.13,8.61,23.38,38.43,22.86,33.38
"461","Arad",36.47,9.22,23.33,30.52,28.55,60.77
"462","Asuncion",36.16,10.71,23.88,30.88,27.65,34.68
"463","SantaCruz",36.14,14.26,25.59,29.42,29.15,57.64
"464","Kathmandu",36.06,5.83,21.48,33.22,21.92,23.73
"465","Almaty",36.05,11.72,24.31,28.66,35.51,46.81
"466","Medellin",35.87,12.33,24.52,31.73,27.61,29.33
"467","Cancun",35.58,9.8,23.15,29.93,35.3,61.69
"468","Minsk",35.3,11.25,23.71,28.55,38.12,43.77
"469","Gurgaon",34.9,10.96,23.36,32.59,30.88,110.97
"470","Craiova",34.34,6.84,21.07,28.61,25.41,58.56
"471","Guadalajara",34.19,10.12,22.58,33.15,30.82,71.87
"472","Tijuana",34.13,10.81,22.88,32.67,32.65,45.26
"473","Yerevan",34.12,9.37,22.18,27.73,31.77,32.52
"474","Kampala",34.09,7.59,21.31,28.02,26.64,23.36
"475","Chisinau",34.06,9.35,22.14,27.64,25.5,31.39
"476","QuezonCity",33.93,7.79,21.33,29.54,19.44,29.57
"477","Hermosillo",33.86,7.29,21.05,30.3,29.75,77.33
"478","Davao",33.67,6.84,20.73,32.75,16.83,28.86
"479","Dhaka",33.64,6.83,20.71,31.89,23.54,37.72
"480","Caracas",33.64,9.63,22.06,35.03,30.79,3.72
"481","Queretaro",33.51,9.52,21.94,33.17,27.96,63.18
"482","Merida",33.18,7.58,20.83,32.01,26.75,37.23
"483","Cali",33.04,7.44,20.69,28.79,23.76,39.71
"484","PuertoVallarta",32.7,11.52,22.48,32.27,31.03,62.36
"485","Puebla",32.65,7.22,20.38,28.36,27.84,45.28
"486","Mumbai",32.59,22.72,27.83,32.94,26.68,73.49
"487","Noida",32.37,6.56,19.92,33.12,24.04,95.95
"488","Delhi",32.14,9.74,21.34,30.67,27.54,78.33
"489","Baku",31.31,9.65,20.86,27.9,32.31,29.19
