"","City","Movehub.Rating","Purchase.Power","Health.Care","Pollution","Quality.of.Life","Crime.Rating","city_id"
"154","Asheville",83.17,70.51,79.02,30.55,81.34,30.21,154
"155","Rochester",82.07,60.78,68.6,31.6,78.05,30.21,155
"156","Indianapolis",84.52,80.72,36.66,82.08,77.13,30.21,156
"157","Newark",84.97,84.39,79.72,62.14,73.21,30.21,157
"158","Vancouver",82.59,48.06,83.73,18.48,71.89,30.03,158
"159","The Hague",83.23,68.28,66.74,37.21,79.99,29.76,159
"160","Amsterdam",84,47.18,68.06,53.42,72.85,29.76,160
"161","Utrecht",79.7,49.87,70.9,18.27,72.61,29.76,161
"162","Calgary",85.77,63.9,75.33,23.53,87.57,29.53,162
"163","Leeds",82.57,63.88,81.48,18.48,78.06,28.91,163
"164","Liverpool",81.23,53.78,82.86,55.35,83.14,28.7,164
"165","Basel",84.2,78.17,79.74,59.18,88.27,28.12,165
"166","Vilnius",72.45,24.17,77.31,82.08,64.19,27.93,166
"167","Frankfurt",82.75,62.6,65.33,14.54,88.04,27.55,167
"168","Vienna",81.84,51.21,79.86,22.39,77.21,27.45,168
"169","Toronto",88.42,61.44,66.11,8.95,77.02,27.4,169
"170","Wellington",81.06,49.11,73.72,30.55,79.83,27.38,170
"171","Doha",90.73,81.96,68.06,83.45,80.28,27.17,171
"172","Cologne",82.18,59.18,67.88,68.41,82.82,27.08,172
"173","Minsk",68.41,16.14,50,66.89,51.66,26.82,173
"174","Valencia",81.06,49.11,72.07,35.24,64.89,26.04,174
"175","Addis Ababa",59.88,6.38,63.89,85.59,28.41,26.04,175
"176","Izmir",76.07,32.12,57.33,30.55,42.9,25.91,176
"177","Stockholm",82.85,51.03,82.5,13.93,78.58,25.62,177
"178","Gothenburg",74.63,26.95,68.24,92.42,71.51,25.62,178
"179","Hamburg",84.66,61.13,82.41,67.78,87.18,25.52,179
"180","Nashville",80.61,80.3,60.3,0,80.5,25.5,180
"181","Aberdeen",81.89,49.7,82.86,34.31,76.77,24.22,181
"182","Leicester",83.36,71.88,60.64,18.04,76.19,24.22,182
"183","Oxford",80.94,50.33,66.2,11.48,72.09,24.22,183
"184","Cambridge",82.15,54.76,81.48,57.18,70.61,24.22,184
"185","Manchester",81.89,62.31,61.42,0,73,24.2,185
"186","Berlin",89.54,68.72,65.48,16.05,91.17,24.18,186
"187","Stuttgart",82.48,65.82,80.38,16.89,90.4,23.96,187
"188","Limassol",78.3,40.13,77.6,26.74,74.83,23.75,188
"189","Ottawa",87.69,91.85,66.02,33.55,86.11,22.25,189
"190","Sliema",81.05,52.84,72.22,67.78,65.03,22.19,190
"191","Venice",78.82,45.69,72.67,11.48,70.34,21.48,191
"192","Seoul",82.43,54.3,75,85.59,60.28,21.35,192
"193","Stavanger",79.41,46.59,62.48,29.13,76.5,20.83,193
"194","Singapore",81.07,33.14,58.82,18.48,42.65,19.96,194
"195","Trondheim",80.36,51.22,81.67,14.53,82.67,19.8,195
"196","Manama",77.56,40.26,72.22,17.06,63.85,19.79,196
"197","Dubai",98.44,69.64,67.78,30.81,85.16,19.36,197
"198","Luxembourg",85.85,76.44,59.72,57.17,81.41,18.75,198
"199","Ahmedabad",76.16,33.69,61.67,68.21,57.01,18.18,199
"200","Braga",75.07,30.21,69.71,14.54,69.91,18.12,200
"201","Davao",69.29,17.63,69,77.98,30.66,17.71,201
"202","Indore",76.38,35.79,31.34,59.42,48.53,16.93,202
"203","Kochi",74.27,28.98,70.23,71.78,45.13,16.93,203
"204","Bergen",80.74,51.24,84.95,18.4,83.76,16.67,204
"205","Shanghai",75.69,26.74,78.7,61.74,31.66,16.51,205
"206","Hong Kong",86.37,50.07,67.59,14.88,59.5,16.31,206
"207","Taipei",77.42,38.19,88.89,87.62,52.35,15.71,207
"208","Zurich",85.89,79.58,78.33,18.04,97.91,15.35,208
"209","Aachen",81.64,60.55,73.25,11.69,90.52,15.34,209
"210","Dresden",84.75,82.6,78.29,16.89,90.21,15.34,210
"211","Munich",86,63.28,88.43,43.08,90.08,15.34,211
"212","Dusseldorf",83.45,72.52,75.98,8.61,88.02,15.34,212
"213","Tokyo",80,47.57,71.53,30.54,69.29,13.91,213
"214","Abu Dhabi",86.4,68.03,48.02,53.42,80.8,10.86,214
"215","Marbella",81.96,60.14,83.64,32.27,75.24,9.11,215
"216","Malaga",84.3,45.77,69.17,30.55,67.9,9.11,216
